id,name,b_exp,crit,final_crit,crit_res,final_crit_res,dodge,final_dodge,final_aspd,hit,final_hit,j_exp,m_def,final_m_def,final_m_dmg_bonus,final_m_dmg_res,m_dps,m_pen,final_m_pen,m_dmg_bonus,m_dmg_res,max_hp,p_def,final_p_def,p_dps,final_p_dmg_bonus,final_p_dmg_res,final_p_pen,p_pen,p_reflect,p_dmg_res,p_dmg_bonus,level,res_id,description,zeny,size,attr,race
19915,phreeoni,,,0.1,,,,-0.5,,,,,236.0,,,,7562.0,,,,,4029069.0,236.0,,7562.0,,,,,,,,30.0,30008.0," The original meaning of ""Phreeoni"" is ""devouring the sky,"" a very figurative description of its most obvious characteristic. Its tongue and huge mouth full of sharp teeth makes it look as though it wants to swallow everything in the world. The four eyes on top of its head allow it to observe enemies easily. However, as it eats everything and never brushes its teeth, the smell which permeates the air around it is usually painfully foul. Monster Researcher Bertha had once remarked during a sneaky attempt at taking photos of the Phreeoni, ""Regardless of how great its research value is, before I get my hands on a hazmat suit to cut off the smell, I'm staying away from it. Oh, I can't take it anymore! I have to get back and shower and spray more Sunflower perfume.""",,large,neutral,brute
19916,pharaoh,,,0.1,,,,-0.5,,,,,281.0,,,,18000.0,,,,,11493900.0,281.0,,18000.0,,,,,,,,60.0,30017.0," Ancient rulers of the deserts. When they were young, they lost their way in the labyrinth of the Sphinx and lost their names and identities, along with their sense of time... Apparently, the leader of the Eden Group, Bowya, once tried to find out their real identities and make records for this period of ancient Egyptian kingdom history. However, as there were too many and all could not be verified in turn, Bowya had to give up.",,large,shadow,demi-human
21030,abyssal mistress,,,0.1,,,,-0.5,,,,,236.0,,,,7562.0,,,,,4029069.0,236.0,,7562.0,,,,,,,,60.0,30007.0," The leader and mother of all Hornets. One Mistress is enough for a colony to develop. The Mistress represents both power and beauty in the Hornet tribe. Its stinger has evolved to become a stinging ring, so the Mistress poses a huge threat that can attack from all directions. Once you provoke the Mistress, be prepared for attacks from the whole colony. Adventurers, don't let your guard down! Tanders has already provided a disastrous demonstration.",,small,wind,insect
21031,abyssal phreeoni,,,0.1,,,,-0.5,,,,,236.0,,,,7562.0,,,,,4029069.0,236.0,,7562.0,,,,,,,,60.0,30008.0," The original meaning of ""Phreeoni"" is ""devouring the sky,"" a very figurative description of its most obvious characteristic. Its tongue and huge mouth full of sharp teeth makes it look as though it wants to swallow everything in the world. The four eyes on top of its head allow it to observe enemies easily. However, as it eats everything and never brushes its teeth, the smell which permeates the air around it is usually painfully foul. Monster Researcher Bertha had once remarked during a sneaky attempt at taking photos of the Phreeoni, ""Regardless of how great its research value is, before I get my hands on a hazmat suit to cut off the smell, I'm staying away from it. Oh, I can't take it anymore! I have to get back and shower and spray more Sunflower perfume.""",,large,neutral,brute
21032,abyssal kraken,,,0.1,,,,-0.5,,,,,338.0,,,,10820.0,,,,,6573272.0,338.0,,10820.0,,,,,,,,60.0,30023.0," The overlord of the seas crowned with the name of ""Kraken."" Rumor has it that not one of those who saw its third eye has managed to escape the maelstrom. Legend has it that Drake suffered great losses after being attacked by it. However, it is said that Drake once tried to talk it into joining forces to conquer the seas.",,large,water,fish
21033,abyssal eddga,,,0.1,,,,-0.5,,,,,338.0,,,,10820.0,,,,,6573272.0,338.0,,10820.0,,,,,,,,60.0,30010.0," Eddga warriors who see gentility and fighting as their faith are currently in Midgard gaining experience through challenges and seem to be staying at Payon for now. The Pipe in its hand is not just for smoking and posing. If you have the misfortune of becoming its opponent, do be careful. Apparently, those who were smashed by the Pipe either died then and there or were left with serious trauma. Adventurers are advised not to challenge it carelessly, or it will use the thorny wristband on its arm to teach you how to behave.",,large,fire,brute
21034,abyssal maya,,,0.1,,,,-0.5,,,,,451.0,,,,14423.0,,,,,9735301.0,451.0,,14423.0,,,,,,,,80.0,30009.0," The ruler of the Ant Cavern. After thousands of years, due to some mysterious reason, it gained certain features of a human appearance. Its mysterious and bewitching looks are obviously not the results of natural evolution. There are also many rumors about it once being a possessed Mage who could no longer recover her original form after regaining control over her body and ended up becoming a real Maya.",,large,earth,insect
21035,abyssal orc hero,,,0.1,,,,-0.5,,,,,451.0,,,,14423.0,,,,,9735301.0,451.0,,14423.0,,,,,,,,80.0,30012.0," The strongest Orc Warrior. His hair is an extraordinarily vibrant red like Rockers and the equipment on his entire body all show off his past glory and honor. However, he is considerate at heart, which is the opposite of his appearance, staying his hand when faced with weak opponents. He welcomes the strong to challenge him and never stoops to despicable means. A fair fight is what brings Orcs honor.",,large,earth,demi-human
21036,abyssal orc lord,,,0.1,,,,-0.5,,,,,281.0,,,,18000.0,,,,,11493900.0,281.0,,18000.0,,,,,,,,80.0,30015.0," The chief of the Orc tribe. Though old, he still possesses great strength. The heads hanging from his waist foretell the future of those who dare challenge the chief...",,large,earth,demi-human
21037,abyssal pharaoh,,,0.1,,,,-0.5,,,,,281.0,,,,18000.0,,,,,11493900.0,281.0,,18000.0,,,,,,,,80.0,30017.0," Ancient rulers of the deserts. When they were young, they lost their way in the labyrinth of the Sphinx and lost their names and identities, along with their sense of time... Apparently, the leader of the Eden Group, Bowya, once tried to find out their real identities and make records for this period of ancient Egyptian kingdom history. However, as there were too many and all could not be verified in turn, Bowya had to give up.",,large,shadow,demi-human
