id,card_coordinate_point,is_mvp_card,unlock_adventure_exp,card_quality,creature_id
10101001,1.0,0.0,200.0,1.0,10002
10101002,1.0,0.0,200.0,1.0,10004
10101003,1.0,0.0,200.0,1.0,10044
10101004,1.0,0.0,200.0,1.0,10048
10101005,1.0,0.0,200.0,1.0,10149
10101006,1.0,0.0,200.0,1.0,10015
10101007,1.0,0.0,200.0,2.0,10050
10101008,1.0,0.0,200.0,1.0,10051
10101009,1.0,0.0,200.0,1.0,10059
10101010,1.0,0.0,200.0,1.0,10012
10101011,1.0,0.0,200.0,1.0,10066
10101013,1.0,0.0,200.0,1.0,10046
10101015,1.0,0.0,200.0,2.0,10068
10101016,1.0,0.0,200.0,2.0,10069
10101017,1.0,0.0,200.0,2.0,10079
10101019,1.0,0.0,200.0,2.0,10114
10101020,1.0,0.0,200.0,2.0,10115
10101021,1.0,0.0,200.0,1.0,10027
10101022,1.0,0.0,200.0,1.0,10107
10101023,1.0,0.0,200.0,1.0,10013
10101024,1.0,0.0,200.0,2.0,10080
10101025,1.0,0.0,200.0,1.0,10084
10101026,1.0,0.0,200.0,2.0,10022
10101027,1.0,0.0,200.0,2.0,10024
10101028,1.0,0.0,200.0,2.0,10021
10101029,1.0,0.0,200.0,2.0,10097
10101030,1.0,0.0,200.0,2.0,10100
10101031,1.0,0.0,200.0,2.0,10098
10101032,1.0,0.0,200.0,2.0,10104
10101033,1.0,0.0,200.0,1.0,10019
10101034,1.0,0.0,200.0,1.0,10020
10101035,1.0,0.0,200.0,2.0,10033
10101036,1.0,0.0,200.0,2.0,10040
10101037,1.0,0.0,200.0,2.0,10123
10101038,1.0,0.0,200.0,2.0,10122
10101039,1.0,0.0,200.0,2.0,10124
10101040,1.0,0.0,200.0,1.0,10125
10101041,1.0,0.0,200.0,2.0,10159
10101047,1.0,0.0,200.0,2.0,10145
10101048,1.0,0.0,200.0,1.0,10094
10101049,1.0,0.0,200.0,2.0,10034
10101050,1.0,0.0,200.0,2.0,10117
10101051,1.0,0.0,200.0,2.0,10053
10101058,1.0,0.0,200.0,1.0,10147
10101059,1.0,0.0,200.0,1.0,10087
10101060,1.0,0.0,200.0,2.0,10081
10101061,1.0,0.0,200.0,2.0,10111
10101062,1.0,0.0,200.0,2.0,10128
10101063,1.0,0.0,200.0,2.0,10109
10101064,1.0,0.0,200.0,2.0,10110
10101065,1.0,0.0,200.0,2.0,10129
10101066,1.0,0.0,200.0,2.0,10112
10101067,1.0,0.0,200.0,2.0,10113
10101068,1.0,0.0,200.0,2.0,10131
10101083,1.0,0.0,200.0,2.0,10172
10101084,1.0,0.0,200.0,2.0,10182
10101085,1.0,0.0,200.0,2.0,10194
10101086,1.0,0.0,200.0,2.0,10170
10101092,1.0,0.0,200.0,2.0,10096
10101093,1.0,0.0,200.0,2.0,10184
10101094,1.0,0.0,200.0,2.0,10192
10101115,1.0,0.0,200.0,2.0,10205
10101116,1.0,0.0,200.0,2.0,10067
10101117,1.0,0.0,200.0,2.0,10062
