id,name,description,res_id,is_boss
10001,poring," Poring, a monster found all throughout Midgard, is more akin to being a mascot of Midgard than a monster. Even the bravest adventurer is no match against a Poring's cuteness. Apparently, people who adore Porings have come together and organized themselves into a Poring Supporters' Group. ""Adventurers who kill Porings without a care are heartless creatures!"" said a member of the supporters' group, wearing a Poring-shaped hat and wiping away tears.",10001.0,0
10002,fabre," Fabres, often found near crops, has only one means of self-defense—spinning silk. Yet, who could have thought that the silk produced by Fabres is the raw material for Prontera's luxury silk? ""They are aggressive when they are hungry but they continue to spin silk docilely one fed. What a simple nature!"" remarked Monster Researcher Bertha as she stood in the field and wrote in her notebook. ""That's enough! Get these insects off my farm right away!"" cried Bertha's father angrily from the side.",10002.0,0
10003,pupa," When Fabres reach a certain stage of growth, they turn into Pupae, seen everywhere out in the fields. Rumor has it that in the quiet of the night, the pupae split open to reveal the Creamy incubated inside, but as nobody has ever seen the complete process of a Creamy emerging from a pupa, how much truth there is in the rumor remains to be verified. Monster Researcher Bertha would like to remind everyone that the Fabre contributes greatly for mankind, so please do not break open pupae just for fun!",10003.0,0
10004,lunatic," The bunny monster which dwells near Prontera South Gate has an inexhaustible store of energy hidden within its tiny body. Despite a Lunatic's cute appearance, due to the fact that its fur is an excellent material, there are already calls to set up a ""Lunatic Conservation Society."" The following is an extract from the important news section of the Kingdom Times: Novices should take care in distinguishing the color of the Lunatic's fur. Should an Eclipse be discovered, please hide immediately and inform the Kingdom Defense Force!",10004.0,0
10005,thief bug egg," In the kingdom's sewers, brown spherical objects, sticky and extremely disgusting, can be seen all over the place. Nobody who can avoid it will ever dream of touching it. Breaking them while they are still eggs can effectively prevent the hatching of Thief Bugs. ""Perhaps only the god of cooking, Dobbin, can turn such things into a dish..."" said Grace, giving up after looking at the Thief Bug Eggs on her chopping board.",10005.0,0
10006,chonchon," A flying monster with big watery eyes. According to research statistics, the Sunflower Nectar outside the West Gate is their favorite food. Chonchons bloated from feasting on nectar hovering low in the air are often seen there. ""... So why are they called Chonchons?!"" yelled Ygnizem as she ran away, unable to strike at the Chonchons due to their cuteness.",10006.0,0
10007,willow," A sentient plant monster freed from the restriction of its roots. Though it looks rather scary, its nature is actually very playful like a little child. As Willows of very small sizes exist, the monster research academia has reasons to believe that there are great variations in size between different Willows. ""The Willows we have found at present are all in their infancy. An adult Willow Sage must be..."" Monster Researcher Bertha's eyes brightened.",10007.0,0
10008,roda frog," An amazing saltwater frog most often found dwelling in the shallowest parts of seas. Apparently, they feed on Chonchons, but no crossing of paths has been discovered between the two in their natural habitat, so it remains unproven. There are even rumors of Roda Frogs being capable of reading, comprehending, taking a liking to human books. ""Those are all tall tales. They're just normal sea monsters,"" yawned Hayden who runs a business by the sea all year round, waving his hand dismissively.",10008.0,0
10009,thief bug," Once an insignificant bug, but mutated once corrupted by the dark energy in the sewers. Adventurers should be advised not to show it any mercy. The following is an extract from the news section of the Kingdom Times: Thief Bug lovers have taken to the streets today to protest the kingdom's order that encourages the extermination of Thief Bugs. The Kingdom Defense Force is now in communication with the Thief Bug lovers. Negotiation is still ongoing.",10009.0,0
10010,grasshopper," A grasshopper-shaped monster with a violin in hand that possesses extraordinary musical talent. Apparently, music is their means of communication. However, the origin of those violins in their hands remains unknown. ""Who could have known that such a romantic race exists in the monster world,"" sang Morts, plucking at the strings of his lute.",10010.0,0
10011,picky," A cute chick monster that never seems to grow up from the moment of its birth. The debate about their appearance in their true complete form has yet to cease amongst the academics. It is in tight competition with the Drops for the first place on Morroc's ranking for the most popular monster. However, do not underestimate their attack. These little fellas have caused the injuries and deaths of several adventurers. The following is an extract from a warning board in the Morroc wilderness: Please exercise caution when dealing with harmless-looking monsters!",10011.0,0
10012,drops," A Fire Poring with a cute appearance similar to normal Porings. However, due to its own magic attribute, Drops can purify more advanced materials than normal Porings. Perhaps it is because they understand this point too, Drops are not as docile and friendly as normal Porings in interacting with humans. It is in a tight competition with the Picky for the first place on Morroc's ranking for the most popular monster. However, on the kingdom's ranking for the most popular monster, it is still a long way behind the Poring.",10012.0,0
10013,pecopeco egg," Pecopeco Egg Shells can be grounded into a shiny powder. It is an excellent raw material for decorations and is popular in the kingdom. However, it is advised not to steal Pecopeco Eggs for fun, or else you will invite the furious attacks of angered Pecopecos. A gentle reminder from Baldwin of the Royal Chivalry: Please gather Egg Shell materials only after the Pecopeco chicks have hatched!",10013.0,0
10014,condor," Condors living in the desert are extremely proud and cannot stand being deprived of their freedom. However, they do not appear as handsome closeup as they do up in the sky. In fact, they look somewhat silly. Perhaps even if they were astoundingly handsome, they would still lose out as they are associated with the word ""con.""  A friendly reminder from Monster Researcher Bertha: Be extra careful of their cries if you wish to keep your eardrums intact.",10014.0,0
10015,savage bebe," A monster which passes off as cute and innocent with its appearance, but viciousness can occasionally be observed from its gaze. It often dashes around on its short legs in the wilderness beyond the West Gate, often accidentally bumping into adventurers before being pet by them for a good while. Perhaps their original intention may have been to attack.",10015.0,0
10016,baby desert wolf," To quicken the growth of their pups, Desert Wolves always leave them to fend for themselves. Therefore, groups of Baby Desert Wolves can always be seen living together. ""High-grade Baby Desert Wolf Fur is more valuable than adult Desert Wolf Fur."" It is rare to see a glimmer of greed in the eyes of the usually gentlemanly Jude.",10016.0,0
10017,pecopeco," A bird monster which can only walk upright despite having wings. Its sharp and powerfully-built beak can scare away egg thieves from afar. After all, once an angry Pecopeco has its eyes on you, it won't be possible to get away without losing some blood. ""Thank goodness I run fast. Otherwise it wouldn't have just been that egg thief who got a good pecking,"" sighed Pet Merchant Lyra, still in lingering shock.",10017.0,0
10018,muka," A desert monster with amazing facial expressions. Despite having an appearance similar to a cactus, it is actually a dancer with a musical soul at heart, and can start swaying to a rhythm at any time. ""Nobody thinks about quenching thirst with it, unless you are willing to have a row of Muka beard on your chin,"" said gourmet chef Stefanie as she blew away the sand in her fingernails, looking at the Muka some distance away with a grin.",10018.0,0
10019,metaller," Some Grasshoppers have gone astray in the pursuit of their musical dreams and have become obsessed with heavy metal. The language their violins play has become completely independent from that of their original race. Therefore, they have a new name. The kingdom's ecology conservation society has already dispatched specialists to keep an eye on the state of development of the Metallers and to follow up on their evolution at all times.",10019.0,0
10020,anacondaq," New adventurers easily overlook how poisonous they are, but to experienced adventurers, their Venom is a rather remarkable profit-making material. As a result, organizations such as the Anacondaq Conservation Society have come into being. After all, when the buying stops, the killing can too!",10020.0,0
10021,scorpion," A formidable existence in the desert. Its stinger and two pincers radiate an aura of danger and even the mesmerizing purple tail cannot conceal the intimidation of its poison. Rumor has it that thousands of adventurers have been stung by them. ""Keep that scary thing away from me. Haven't you heard Monster Conservation Society's news? It's extremely likely to evolve into a giant scorpion,"" said Rylai, tightening her protective clothing and taking another two steps back.",10021.0,0
10022,golem," A monster with very obvious man-made traces. Nobody knows how they appeared. Traces of having been built out of bricks cover their entire body and amagical light shines from their eyes.  ""They may hold the secrets of a vanished magic civilization and are worthy to be considered very good research material,"" said Armor Merchant Dael, stealthily taking a photo of Golems feeding and seeming to already have a plan to catch one for research.",10022.0,0
10023,hode," Few are the adventurers who have seen Hodes in their entirety in the desert. Apparently, strange large eyes hide beneath those budging and wriggling sand dunes, but nobody has been able to provide photos as evidence yet.  The following comes from a Monster Conservation Society's notice: Please do not dig pits all over the place to take a photo of a Hode. This speeds up the degradation of the natural ecological environment.",10023.0,0
10024,desert wolf," Due to the cruel experiences they went through when they were young, they have grown into fearsome Desert Wolves skilled in fighting. After experiencing countless battles, their fur have turned into hardened armor and are no longer worth as much as the soft fur they had when they were young. However, apparently, there are still people secretly buying adult Desert Wolf Fur for use as armor material on the Black Market.",10024.0,0
10025,frilldora," A dangerous-looking animal with ugly features. However, they actually feed on pests all year round and make great contributions to the conservation of the environment. Hopefully biologists can help them restore the reputation they deserve someday.",10025.0,0
10027,hornet," Death after a stinging attack is a thing of the past. The stinger is its present combat weapon. Its appearance is similar to a cross between a bee and a spirit. Despite having a cute human face, it is aggressive and does not like losing, never admitting defeat upon encountering a strong rival. Ygnizem is one of their victims.",10027.0,0
10028,ambernite," A slow, crawling animal on the surface. The mysterious patterns on the Ambernite shell that faintly give off a magical aura will escape notice without close observation.  According to information from the Geffen Guild, Ambernites are a type of stealthy magical creature and highly dangerous. Please be careful!",10028.0,0
10029,wormtail," A mouse with a giant onion growing on its body. You may think of them in this way, but do not ever voice it out. They are creatures born naturally in the forests and apparently have a certain degree of divinity. Best not to trifle with them.",10029.0,0
