id,name,description,type,static_id,res_id,init_holes,max_holes,min_level_limit,prop_level,quality,refine_id,sell_price,is_all_job,wardrobe_value,improved_level,decomposition_id,suit_id
1101002,blade,"A sword with a thick, flat blade.",Weapon - One-Handed Sword,1101002.0,1101002.0,2.0,2.0,25.0,30.0,1.0,10101.0,,,,0.0,2.0,1020.0
1101003,rapier,A sword with an elegant blade and cross guard.,Weapon - One-Handed Sword,1101003.0,1101003.0,2.0,2.0,50.0,50.0,1.0,10301.0,,,,0.0,8.0,3020.0
1101004,blade vi,"A sword with a thick, flat blade.",Weapon - One-Handed Sword,1101002.0,1101002.0,2.0,2.0,25.0,90.0,1.0,10101.0,,,,6.0,27.0,1020.0
1101005,stone iron sword v,A sword made of a stone hilt and iron blade. It packs immense force.,Weapon - One-Handed Sword,1101037.0,1101002.0,2.0,2.0,40.0,90.0,1.0,10201.0,,,,5.0,27.0,2020.0
1101006,haedonggum,A sword crafted by a mysterious island nation in the Far East. It is used to cultivate one's moral character as well as combat.,Weapon - One-Handed Sword,1101006.0,1101006.0,2.0,2.0,80.0,80.0,1.0,10601.0,,,,0.0,16.0,2060.0
1101007,rapier iv,A sword with an elegant blade and cross guard.,Weapon - One-Handed Sword,1101003.0,1101003.0,2.0,2.0,50.0,90.0,1.0,10301.0,,,,4.0,27.0,3020.0
1101008,ring pommel saber iii,A knife with a round hilt.,Weapon - One-Handed Sword,1101018.0,1101018.0,2.0,2.0,60.0,90.0,1.0,10401.0,,,,3.0,27.0,4020.0
1101009,town sword ii,A sword that is widely supplied to ordinary citizens.,Weapon - One-Handed Sword,1101035.0,1101035.0,2.0,2.0,70.0,90.0,1.0,10501.0,,,,2.0,27.0,5020.0
1101010,haedonggum i,A sword crafted by a mysterious island nation in the Far East. It is used to cultivate one's moral character as well as combat.,Weapon - One-Handed Sword,1101006.0,1101006.0,2.0,2.0,80.0,90.0,1.0,10601.0,,,,1.0,27.0,2060.0
1101013,marquis' sword,A sword that is embedded in a stone. It chooses its owner and possesses divine power.,Weapon - One-Handed Sword,1101013.0,1101013.0,2.0,2.0,100.0,100.0,2.0,20101.0,,,,0.0,56.0,108.0
1101018,ring pommel saber,A knife with a round hilt.,Weapon - One-Handed Sword,1101018.0,1101018.0,2.0,2.0,60.0,60.0,1.0,10401.0,,,,0.0,11.0,4020.0
1101021,haedonggum ii,A sword crafted by a mysterious island nation in the Far East. It is used to cultivate one's moral character as well as combat.,Weapon - One-Handed Sword,1101006.0,1101006.0,2.0,2.0,80.0,100.0,1.0,10601.0,,,,2.0,59.0,2060.0
1101022,rapier v,A sword with an elegant blade and cross guard.,Weapon - One-Handed Sword,1101003.0,1101003.0,2.0,2.0,50.0,100.0,1.0,10301.0,,,,5.0,59.0,3020.0
1101023,stone iron sword vi,A sword made of a stone hilt and iron blade. It packs immense force.,Weapon - One-Handed Sword,1101037.0,1101002.0,2.0,2.0,40.0,100.0,1.0,10201.0,,,,6.0,59.0,2020.0
1101024,avenger's sword i,A sword said to house a Wraith that feeds on hatred. It will grow more powerful as its wielder's vengeful heart swells.,Weapon - One-Handed Sword,1101043.0,1101043.0,2.0,2.0,90.0,100.0,1.0,10601.0,,,,1.0,59.0,2070.0
1101025,blade vii,"A sword with a thick, flat blade.",Weapon - One-Handed Sword,,1101002.0,2.0,2.0,25.0,100.0,1.0,10101.0,,,,7.0,59.0,1020.0
1101026,ring pommel saber iv,A knife with a round hilt.,Weapon - One-Handed Sword,1101018.0,1101018.0,2.0,2.0,60.0,100.0,1.0,10401.0,,,,4.0,59.0,4020.0
1101027,town sword iii,A sword that is widely supplied to ordinary citizens.,Weapon - One-Handed Sword,1101035.0,1101035.0,2.0,2.0,70.0,100.0,1.0,10501.0,,,,3.0,59.0,5020.0
1101031,adventurer's one-handed sword,A one-handed sword favored by those who love to adventure. It offers just enough attack power to deal with basic monsters.,Weapon - One-Handed Sword,1101031.0,1101031.0,2.0,2.0,30.0,30.0,2.0,20101.0,,,,0.0,19.0,101.0
1101032,veteran's sword,A sword that can only be used by masters of the highest proficiency. Extremely deadly in the right hands.,Weapon - One-Handed Sword,1101032.0,1101032.0,2.0,2.0,40.0,40.0,2.0,20101.0,,,,0.0,21.0,102.0
1101033,glorious sword,A sword that can only be used by warriors who have won glory. Those who carry it will feel great honor.,Weapon - One-Handed Sword,1101033.0,1101033.0,2.0,2.0,50.0,50.0,2.0,20101.0,,,,0.0,22.0,103.0
1101035,town sword,A sword that is widely supplied to ordinary citizens.,Weapon - One-Handed Sword,1101035.0,1101035.0,2.0,2.0,70.0,70.0,1.0,10501.0,,,,0.0,13.0,5020.0
1101036,royal sword,A sword conferred to warriors by the royal family. Those who carry it will feel the highest honor.,Weapon - One-Handed Sword,1101036.0,1101036.0,2.0,2.0,70.0,70.0,2.0,20101.0,,,,0.0,26.0,105.0
1101037,stone iron sword,A sword made of a stone hilt and iron blade. It packs immense force.,Weapon - One-Handed Sword,1101037.0,1101002.0,2.0,2.0,40.0,40.0,1.0,10201.0,,,,0.0,5.0,2020.0
1101038,imperial guard's sword,A sword used by the Imperial Guard.,Weapon - One-Handed Sword,1101038.0,1101038.0,2.0,2.0,60.0,60.0,2.0,20101.0,,,,0.0,25.0,104.0
