equip_id,attribute,attribute_value,id
1000996,,,0
1100001,P.ATK,12.0,1
1100001,ASPD,12.0,2
1101002,P.ATK,100.0,3
1101002,P.PEN,50.0,4
1101003,P.ATK,220.0,5
1101003,P.PEN,110.0,6
1101004,P.ATK,580.0,7
1101004,P.PEN,290.0,8
1101005,P.ATK,580.0,9
1101005,P.PEN,290.0,10
1101006,P.ATK,480.0,11
1101006,P.PEN,240.0,12
1101007,P.ATK,580.0,13
1101007,P.PEN,290.0,14
1101008,P.ATK,580.0,15
1101008,P.PEN,290.0,16
1101009,P.ATK,580.0,17
1101009,P.PEN,290.0,18
1101010,P.ATK,580.0,19
1101010,P.PEN,290.0,20
1101011,P.ATK,760.0,21
1101011,P.PEN,380.0,22
1101012,P.ATK,760.0,23
1101012,P.PEN,380.0,24
1101013,P.ATK,1050.0,25
1101013,P.PEN,525.0,26
1101014,P.ATK,600.0,27
1101014,P.PEN,300.0,28
1101015,P.ATK,1050.0,29
1101015,P.PEN,525.0,30
1101016,P.ATK,1160.0,31
1101016,P.PEN,580.0,32
1101017,P.ATK,960.0,33
1101017,P.PEN,480.0,34
1101018,P.ATK,300.0,35
1101018,P.PEN,150.0,36
1101019,P.ATK,960.0,37
1101019,P.PEN,480.0,38
1101020,P.ATK,1160.0,39
1101020,P.PEN,580.0,40
1101021,P.ATK,700.0,41
1101021,P.PEN,350.0,42
1101022,P.ATK,700.0,43
1101022,P.PEN,350.0,44
1101023,P.ATK,700.0,45
1101023,P.PEN,350.0,46
1101024,P.ATK,1050.0,47
1101024,P.PEN,525.0,48
1101025,P.ATK,700.0,49
1101025,P.PEN,350.0,50
1101026,P.ATK,700.0,51
1101026,P.PEN,350.0,52
1101027,P.ATK,700.0,53
1101027,P.PEN,350.0,54
1101030,P.ATK,25.0,55
1101030,P.PEN,25.0,56
1101031,P.ATK,150.0,57
1101031,P.PEN,75.0,58
1101032,P.ATK,240.0,59
1101032,P.PEN,120.0,60
1101033,P.ATK,330.0,61
1101033,P.PEN,165.0,62
1101034,P.ATK,320.0,63
1101034,P.PEN,160.0,64
1101035,P.ATK,380.0,65
1101035,P.PEN,190.0,66
1101036,P.ATK,570.0,67
1101036,P.PEN,285.0,68
1101037,P.ATK,160.0,69
1101037,P.PEN,80.0,70
1101038,P.ATK,450.0,71
1101038,P.PEN,225.0,72
1101039,P.ATK,720.0,73
1101039,P.PEN,360.0,74
1101040,P.ATK,160.0,75
1101040,P.PEN,80.0,76
1101041,P.ATK,220.0,77
1101041,P.PEN,110.0,78
