equip_id,material_id,material_num,id
2101054,2101006,1.0,0
2101054,10406415,2.0,1
2101054,10406450,2.0,2
2101055,2101005,1.0,3
2101055,10406415,2.0,4
2101055,10406450,2.0,5
2101056,2101009,1.0,6
2101056,10406415,2.0,7
2101056,10406450,2.0,8
2102039,2102005,1.0,9
2102039,10406415,2.0,10
2102039,10406451,2.0,11
2102066,2102065,1.0,12
2102066,10406415,2.0,13
2102066,10406451,2.0,14
2102040,2102006,1.0,15
2102040,10406415,2.0,16
2102040,10406451,2.0,17
2103039,2103006,1.0,18
2103039,10406415,2.0,19
2103039,10406452,2.0,20
2103066,2103065,1.0,21
2103066,10406415,2.0,22
2103066,10406452,2.0,23
2103040,2103005,1.0,24
2103040,10406415,2.0,25
2103040,10406452,2.0,26
1201047,1201023,1.0,27
1201047,10406401,2.0,28
1201047,10406449,2.0,29
1201048,1201004,1.0,30
1201048,10406401,2.0,31
1201048,10406449,2.0,32
3201146,3201144,1.0,33
3201146,10406402,4.0,34
3201146,10406447,4.0,35
3201147,3201145,1.0,36
3201147,10406402,4.0,37
3201147,10406447,4.0,38
3101280,3101277,1.0,39
3101280,10406402,2.0,40
3101280,10406448,2.0,41
3101281,3101278,1.0,42
3101281,10406402,2.0,43
3101281,10406448,2.0,44
3101282,3101279,1.0,45
3101282,10406402,2.0,46
3101282,10406448,2.0,47
1101040,1101002,1.0,48
1101040,10406401,4.0,49
1101040,10406449,4.0,50
1102038,1102004,1.0,51
1102038,10406401,4.0,52
1102038,10406449,4.0,53
1104038,1104006,1.0,54
1104038,10406401,4.0,55
1104038,10406449,4.0,56
1103038,1103002,1.0,57
1103038,10406401,4.0,58
1103038,10406449,4.0,59
1107040,1107008,1.0,60
1107040,10406401,6.0,61
1107040,10406449,6.0,62
1303039,1303003,1.0,63
1303039,10406401,6.0,64
1303039,10406449,6.0,65
1304039,1304014,1.0,66
1304039,10406401,6.0,67
1304039,10406449,6.0,68
1305038,1305002,1.0,69
1305038,10406401,6.0,70
1305038,10406449,6.0,71
1307038,1307002,1.0,72
1307038,10406401,6.0,73
1307038,10406449,6.0,74
1301041,1301014,1.0,75
1301041,10406401,6.0,76
1301041,10406449,6.0,77
1306038,1306003,1.0,78
1306038,10406401,6.0,79
1306038,10406449,6.0,80
1302039,1302003,1.0,81
1302039,10406401,6.0,82
1302039,10406449,6.0,83
1105038,1105002,1.0,84
1105038,10406401,3.0,85
1105038,10406449,3.0,86
2101060,2101054,1.0,87
2101060,10406415,4.0,88
2101060,10406456,1.0,89
2101061,2101055,1.0,90
2101061,10406415,4.0,91
2101061,10406456,1.0,92
2101062,2101056,1.0,93
2101062,10406415,4.0,94
2101062,10406456,1.0,95
2102041,2102039,1.0,96
2102041,10406415,4.0,97
2102041,10406457,1.0,98
2102067,2102066,1.0,99
2102067,10406415,4.0,100
2102067,10406457,1.0,101
2102042,2102040,1.0,102
2102042,10406415,4.0,103
2102042,10406457,1.0,104
2103041,2103039,1.0,105
2103041,10406415,4.0,106
2103041,10406458,1.0,107
2103067,2103066,1.0,108
2103067,10406415,4.0,109
2103067,10406458,1.0,110
2103042,2103040,1.0,111
2103042,10406415,4.0,112
2103042,10406458,1.0,113
1201049,1201047,1.0,114
1201049,10406401,4.0,115
1201049,10406455,1.0,116
1201050,1201048,1.0,117
1201050,10406401,4.0,118
1201050,10406455,1.0,119
3201148,3201146,1.0,120
3201148,10406402,8.0,121
3201148,10406453,3.0,122
3201149,3201147,1.0,123
3201149,10406402,8.0,124
3201149,10406453,3.0,125
3101283,3101280,1.0,126
3101283,10406402,4.0,127
3101283,10406454,1.0,128
3101284,3101281,1.0,129
3101284,10406402,4.0,130
3101284,10406454,1.0,131
3101285,3101282,1.0,132
3101285,10406402,4.0,133
3101285,10406454,1.0,134
1101041,1101040,1.0,135
1101041,10406401,8.0,136
1101041,10406455,3.0,137
1102039,1102038,1.0,138
1102039,10406401,8.0,139
1102039,10406455,3.0,140
1104039,1104038,1.0,141
1104039,10406401,8.0,142
1104039,10406455,3.0,143
1103039,1103038,1.0,144
1103039,10406401,8.0,145
1103039,10406455,3.0,146
1107041,1107040,1.0,147
1107041,10406401,12.0,148
1107041,10406455,4.0,149
1303040,1303039,1.0,150
1303040,10406401,12.0,151
1303040,10406455,4.0,152
1304040,1304039,1.0,153
1304040,10406401,12.0,154
1304040,10406455,4.0,155
