id,refine_id,inherit_zeny,need_zeny,normal_num,break_rate,upgrade_rate,downgrade_rate,refine_lv,special_num,quality,normal_item,special_item
1,1,0,0,0,0,0,0,0,0,1,,
10,1,40000,40000,4,15,20,30,9,4,1,HD Oridecon,Blessed Oridecon Ⅰ
100,8,20000,20000,8,15,20,25,8,4,1,Enriched Oridecon,Blessed Oridecon Ⅰ
1000,77,300000,300000,24,20,20,30,11,12,2,HD Oridecon,Blessed Oridecon Ⅰ
1001,77,300000,300000,24,20,20,30,12,12,2,HD Oridecon,Blessed Oridecon Ⅰ
1002,78,0,0,0,0,0,0,0,0,4,,
1003,78,15000,15000,24,0,100,0,1,0,4,Oridecon,
1004,78,15000,15000,24,0,50,0,2,0,4,Oridecon,
1005,78,30000,30000,48,0,33,0,3,0,4,Oridecon,
1006,78,30000,30000,48,0,25,0,4,0,4,Oridecon,
1007,78,60000,60000,24,10,25,25,5,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1008,78,60000,60000,24,10,25,25,6,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1009,78,150000,150000,48,15,20,25,7,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
101,8,40000,40000,4,15,20,30,9,4,1,HD Oridecon,Blessed Oridecon Ⅰ
1010,78,150000,150000,48,15,20,25,8,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1011,78,300000,300000,24,15,20,30,9,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1012,78,300000,300000,24,15,20,30,10,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1013,78,600000,600000,48,20,20,30,11,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1014,78,600000,600000,48,20,20,30,12,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1015,79,0,0,0,0,0,0,0,0,1,,
1016,79,3000,3000,6,0,100,0,1,0,1,Oridecon,
1017,79,3000,3000,6,0,50,0,2,0,1,Oridecon,
1018,79,6000,6000,12,0,33,0,3,0,1,Oridecon,
1019,79,6000,6000,12,0,25,0,4,0,1,Oridecon,
102,8,40000,40000,4,15,20,30,10,4,1,HD Oridecon,Blessed Oridecon Ⅰ
1020,79,15000,15000,6,10,25,25,5,6,1,Enriched Oridecon,Blessed Oridecon Ⅰ
