refine_id,property_percent,refine_lv,quality,id,property
1,0.0,0,1,0,M.ATK
1,0.0,0,1,1,Final M.PEN
1,0.45,9,1,2,M.ATK
1,0.27,9,1,3,Final M.PEN
8,0.4,8,1,4,ATK
8,0.24,8,1,5,Final P.PEN
77,0.33,11,2,6,M.ATK
77,1.32,11,2,7,Final Haste
77,0.36,12,2,8,M.ATK
77,1.44,12,2,9,Final Haste
78,0.0,0,4,10,M.ATK
78,0.0,0,4,11,Final Haste
78,0.18,1,4,12,M.ATK
78,0.03,1,4,13,Final Haste
78,0.36,2,4,14,M.ATK
78,0.06,2,4,15,Final Haste
78,0.54,3,4,16,M.ATK
78,0.09,3,4,17,Final Haste
78,0.72,4,4,18,M.ATK
78,0.12,4,4,19,Final Haste
78,0.9,5,4,20,M.ATK
78,0.15,5,4,21,Final Haste
78,0.18,6,4,22,M.ATK
78,1.08,6,4,23,Final Haste
78,0.21,7,4,24,M.ATK
78,1.26,7,4,25,Final Haste
8,0.45,9,1,26,ATK
8,0.27,9,1,27,Final P.PEN
78,0.24,8,4,28,M.ATK
78,1.44,8,4,29,Final Haste
78,0.27,9,4,30,M.ATK
78,1.62,9,4,31,Final Haste
78,0.3,10,4,32,M.ATK
78,1.8,10,4,33,Final Haste
78,0.33,11,4,34,M.ATK
78,1.98,11,4,35,Final Haste
78,0.36,12,4,36,M.ATK
78,2.16,12,4,37,Final Haste
79,0.0,0,1,38,ATK
79,0.0,0,1,39,Final Attack Speed
79,0.08,1,1,40,ATK
79,0.2,1,1,41,Final Attack Speed
79,0.16,2,1,42,ATK
79,0.4,2,1,43,Final Attack Speed
79,0.24,3,1,44,ATK
79,0.6,3,1,45,Final Attack Speed
79,0.32,4,1,46,ATK
79,0.8,4,1,47,Final Attack Speed
8,0.5,10,1,48,ATK
8,0.3,10,1,49,Final P.PEN
79,0.4,5,1,50,ATK
79,1.0,5,1,51,Final Attack Speed
79,0.48,6,1,52,ATK
79,1.2,6,1,53,Final Attack Speed
