id,life_skill_area_id,fish_energy,fish_exp,get_fish_cd,level_extra_drop_id,extra_drop_id,life_level_limit
10206601,10206601,10.0,10.0,10.0,509999006,509999001,1.0
10306601,10306601,10.0,10.0,10.0,509999006,509999001,2.0
10406637,10406637,10.0,10.0,10.0,509999006,509999001,4.0
11506601,11506601,10.0,10.0,10.0,509999006,509999001,5.0
12706613,12706613,10.0,10.0,10.0,509999006,509999001,8.0
13206601,13206601,10.0,10.0,10.0,509999006,509999001,3.0
14206601,14206601,10.0,10.0,10.0,509999006,509999001,6.0
16106601,16106601,10.0,10.0,10.0,509999006,509999001,9.0
17106601,17106601,10.0,10.0,10.0,509999006,509999001,10.0
19206619,19206619,10.0,10.0,10.0,509999006,509999001,12.0
