drop_id,item_id,item_num
100001,5,1
100001,5,10
1000011011,6,5000
1000011011,7,5000
1000011011,1,200
1000011021,6,5000
1000011021,7,5000
1000011021,1,400
1000011031,6,15000
1000011031,7,15000
1000011031,1,600
1000011041,6,10000
1000011041,7,10000
1000011041,1,800
1000011051,6,10000
1000011051,7,10000
1000011051,1,1000
1000011061,6,12500
1000011061,7,12500
1000011061,1,1200
1000011071,6,12500
1000011071,7,12500
1000011071,1,1400
1000011071,5,5
1000011071,5,5
1000011071,5,1
1000011081,6,15000
1000011081,7,15000
1000011081,1,1600
1000011081,4,1
1000011082,4,1
1000011091,6,15000
1000011091,7,15000
1000011091,1,1800
1000011101,6,17500
1000011101,7,17500
1000011101,1,2000
1000011111,6,17500
1000011111,7,17500
1000011111,1,2200
1000011121,6,20000
1000011121,7,20000
1000011121,1,2400
1000011131,6,20000
1000011131,7,20000
1000011131,1,2600
1000011132,11,1
1000011141,6,15000
1000011141,7,15000
1000011141,1,2800
1000011141,4,1
1000011151,6,15000
1000011151,7,15000
1000011151,1,3000
1000011161,6,15000
1000011161,7,15000
1000011161,1,3200
1000011161,4,1
1000011171,6,12500
1000011171,7,12500
1000011171,1,3400
1000011181,6,12500
1000011181,7,12500
1000011181,1,3600
1000011191,6,12500
1000011191,7,12500
1000011191,1,3800
1000011191,4,1
1000011201,6,12500
1000011201,7,12500
1000011201,1,4000
1000011211,6,11000
1000011211,7,11000
1000011211,1,4200
1000011221,6,11000
1000011221,7,11000
1000011221,1,4400
1000011231,6,11000
1000011231,7,11000
1000011231,1,5000
1000011241,6,20000
1000011241,7,20000
1000011241,1,5200
1000011251,6,20000
1000011251,7,20000
1000011251,1,5400
1000011261,6,20000
1000011261,7,20000
1000011261,1,5600
1000011261,5,50
1000011261,5,50
1000011271,6,11000
1000011271,7,11000
1000011271,1,4600
1000011281,6,11000
1000011281,7,11000
1000011281,1,4800
100002,5,1
100002,5,16
1000021011,6,15000
1000021011,7,15000
1000021011,1,5800
1000021021,6,15000
1000021021,7,15000
1000021021,1,6000
1000021031,6,15000
1000021031,7,15000
1000021031,1,6200
1000021041,6,15000
1000021041,7,15000
1000021041,1,6400
1000021051,6,15000
1000021051,7,15000
1000021051,1,6600
1000021061,6,15000
1000021061,7,15000
1000021061,1,6700
1000021071,6,17500
1000021071,7,17500
1000021071,1,6800
1000021081,6,17500
1000021081,7,17500
1000021081,1,6900
1000021091,6,17500
1000021091,7,17500
1000021091,1,7000
1000021101,6,17500
1000021101,7,17500
1000021101,1,7100
1000021111,6,17500
1000021111,7,17500
1000021111,1,7200
1000021121,6,17500
1000021121,7,17500
1000021121,1,7300
1000021131,6,17500
1000021131,7,17500
1000021131,1,7400
1000021141,6,17500
1000021141,7,17500
1000021141,1,7500
1000021151,6,17500
1000021151,7,17500
1000021151,1,7600
1000021161,6,17500
1000021161,7,17500
1000021161,1,7700
1000021171,6,17500
1000021171,7,17500
1000021171,1,7800
1000021172,5,1
1000021181,6,17500
1000021181,7,17500
1000021181,1,7900
1000021191,6,17500
1000021191,7,17500
1000021191,1,8000
1000021201,6,20000
1000021201,7,20000
1000021201,1,8100
1000021211,6,20000
1000021211,7,20000
1000021211,1,8200
1000021221,6,20000
1000021221,7,20000
1000021221,1,8300
1000021231,6,20000
1000021231,7,20000
1000021231,1,8400
1000021241,6,20000
1000021241,7,20000
1000021241,1,8500
1000021251,6,20000
1000021251,7,20000
1000021251,1,8600
1000021261,6,20000
1000021261,7,20000
1000021261,1,8700
1000021271,6,20000
1000021271,7,20000
1000021271,1,8800
1000021281,6,20000
1000021281,7,20000
1000021281,1,8900
1000021291,6,20000
1000021291,7,20000
1000021291,1,9000
1000021301,6,20000
1000021301,7,20000
1000021301,1,9100
1000021311,6,20000
1000021311,7,20000
1000021311,1,9200
1000021321,6,20000
1000021321,7,20000
1000021321,1,9300
1000021331,6,20000
1000021331,7,20000
1000021331,1,9400
1000021341,6,20000
1000021341,7,20000
1000021341,1,9500
1000021351,6,22500
1000021351,7,22500
1000021351,1,9600
1000021361,6,22500
1000021361,7,22500
1000021361,1,9700
1000021371,6,22500
1000021371,7,22500
1000021371,1,9800
1000021381,6,22500
1000021381,7,22500
1000021381,1,9900
1000021391,6,22500
1000021391,7,22500
1000021391,1,10000
1000021401,6,22500
1000021401,7,22500
1000021401,1,10100
1000021402,5,1
1000021411,6,22500
1000021411,7,22500
1000021411,1,10200
1000021421,6,22500
1000021421,7,22500
1000021421,1,10300
1000021431,6,27500
1000021431,7,27500
1000021431,1,10400
1000021441,6,27500
1000021441,7,27500
1000021441,1,10500
1000021451,6,27500
1000021451,7,27500
1000021451,1,10600
1000021461,6,27500
1000021461,7,27500
1000021461,1,10700
1000021471,6,27500
1000021471,7,27500
1000021471,1,10800
1000021481,6,27500
1000021481,7,27500
1000021481,1,10900
1000021491,6,27500
1000021491,7,27500
1000021491,1,11000
1000021501,6,27500
1000021501,7,27500
1000021501,1,11100
100003,5,2
100003,5,10
1000031011,6,20000
1000031011,7,20000
1000031011,1,12100
1000031021,6,20000
1000031021,7,20000
1000031021,1,12200
1000031031,6,20000
1000031031,7,20000
1000031031,1,12300
1000031032,5,1
1000031041,6,20000
1000031041,7,20000
1000031041,1,12700
1000031051,6,20000
1000031051,7,20000
1000031051,1,12500
1000031061,6,20000
1000031061,7,20000
1000031061,1,12600
1000031071,6,20000
1000031071,7,20000
1000031071,1,12700
1000031081,6,20000
1000031081,7,20000
1000031081,1,12800
1000031091,6,20000
1000031091,7,20000
1000031091,1,14000
1000031101,6,20000
1000031101,7,20000
1000031101,1,14200
1000031111,6,20000
1000031111,7,20000
1000031111,1,14400
1000031121,6,20000
1000031121,7,20000
1000031121,1,14600
1000031131,6,20000
1000031131,7,20000
1000031131,1,14800
1000031141,6,20000
1000031141,7,20000
1000031141,1,15000
1000031151,6,20000
1000031151,7,20000
1000031151,1,15200
1000031161,6,20000
1000031161,7,20000
1000031161,1,15400
1000031171,6,20000
1000031171,7,20000
1000031171,1,15600
1000031181,6,20000
1000031181,7,20000
1000031181,1,15800
1000031191,6,20000
1000031191,7,20000
1000031191,1,16000
1000031201,6,20000
1000031201,7,20000
1000031201,1,16200
1000031211,6,20000
1000031211,7,20000
1000031211,1,16400
1000031221,6,20000
1000031221,7,20000
1000031221,1,16600
1000031231,6,20000
1000031231,7,20000
1000031231,1,16800
1000031241,6,20000
1000031241,7,20000
1000031241,1,17000
1000031251,6,20000
1000031251,7,20000
1000031251,1,17200
1000031261,6,20000
1000031261,7,20000
1000031261,1,18000
1000031271,6,20000
1000031271,7,20000
1000031271,1,18100
1000031281,6,20000
1000031281,7,20000
1000031281,1,18200
1000031291,6,20000
1000031291,7,20000
1000031291,1,18300
1000031301,6,20000
1000031301,7,20000
1000031301,1,18400
1000031311,6,20000
1000031311,7,20000
1000031311,1,18500
1000031321,6,20000
1000031321,7,20000
1000031321,1,18600
1000031331,6,20000
1000031331,7,20000
1000031331,1,18700
1000031341,6,20000
1000031341,7,20000
1000031341,1,18800
1000031351,6,20000
1000031351,7,20000
1000031351,1,18900
1000031361,6,20000
1000031361,7,20000
1000031361,1,19000
1000031371,6,20000
1000031371,7,20000
1000031371,1,19100
1000031381,6,20000
1000031381,7,20000
1000031381,1,19200
1000031391,6,20000
1000031391,7,20000
1000031391,1,19300
1000031401,6,20000
1000031401,7,20000
1000031401,1,19400
1000031411,6,20000
1000031411,7,20000
1000031411,1,19500
100004,5,2
100004,5,16
1000041011,6,22000
1000041011,7,22000
1000041011,1,9800
1000041021,6,22000
1000041021,7,22000
1000041021,1,10300
1000041031,6,22000
1000041031,7,22000
1000041031,1,10800
1000041041,6,22000
1000041041,7,22000
1000041041,1,11300
1000041051,6,22000
1000041051,7,22000
1000041051,1,11800
1000041061,6,24000
1000041061,7,24000
1000041061,1,12300
1000041071,6,26000
1000041071,7,26000
1000041071,1,12800
1000041081,6,26000
1000041081,7,26000
