id,name,description,res_id,type,cd,max_stack,stackable,weight,sell_price,stall_price_lower_limit,stall_price_upper_limit,quality,is_visible
1001,zeny,A common currency used throughout the land of Rune-Midgarts. The more the better!,1001.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1002,diamond,"It's said that this exquisite, precious ore can only be used in the circulation of high-priced goods.",1002.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1003,crystal,A crystal with a mysterious luster. It is quite popular in the Exchange Center.,1003.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1004,wonderland points,Contribution points for establishing Ragnarok X: Next Generation. Can be exchanged for extremely rare items.,1004.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1005,base exp,Used to increase a character's Base Level.,1005.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1006,job exp,Used to increase a character's Job Level.,1006.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1007,odin's blessing,The Allfather's blessing. Increases the speed at which EXP is gained.,1007.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1011,guild contribution,Can be exchanged for lots of guild-exclusive rewards.,1011.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1012,guild funds,Material for the guild construction and development. Requires more contribution from guild members!,1012.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1013,credit,For credits! Go for it!,1013.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1014,academy coin,A currency used at Criatura Academy. Can be used to redeem rewards.,1014.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1015,tower stones,A stone that only appears in Endless Tower.,1015.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1016,cat hand corp. coin,Use at the Card Vending Machine to take part in the Vending Machine Event!,1010.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1017,blessing base exp,Odin's Blessing. Increases Base EXP gained fivefold.,1007.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1018,blessing job exp,Odin's Blessing. Increases Job EXP gained fivefold.,1018.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1019,any white card,Obtain any white card.,10102001.0,Weapon Card,0.0,,,0.0,,,,,0
1020,cool event corp. coin,Use at the Equipment Vending Machine to take part in the Vending Machine Event!,1009.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1021,kafra corp. coin,Use at the Headgear Vending Machine to take part in the Vending Machine Event!,1008.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1022,kvm points,You can use KVM Points to exchange for fantastic rewards!,1022.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1023,pass exp,Get Pass EXP to level up your Pass and claim generous rewards!,1023.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1024,10 diamonds,Exchange Center item. Purchase to obtain 10 Diamonds.,1002.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1025,mvp coin,A general reward for challenging MVP. Can be used at the corresponding Vending Machine.,1025.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1026,mini coin,A general reward for challenging Mini. Can be used at the corresponding Vending Machine.,1026.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1027,valkyrie coin,A general reward for challenging instances. Can be exchanged for the Valkyrie set.\n<color=#FF0000>[Those of Base Lv.40 and higher cannot receive this from this instance.]</color>,1027.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1028,endless coin,A general reward for challenging Endless Tower. Can be exchanged for the Odin set.,1028.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1029,otherworld energy,Otherworld Gate's Open Progress,1028.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1030,lost soul,A soul that lost its way in Endless Tower. People inside the tower like collecting them.,1030.0,Uncategorized,0.0,,,0.0,,,,,0
1031,tower key,A secret key made of special materials that is necessary for entering Endless Tower. It will not last very long once obtained.,1031.0,Uncategorized,0.0,,,0.0,,,,,0
1032,guild pass exp,EXP obtained from completing Guild Pass Quests.,1032.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1033,exchange diamonds for crystals,,1002.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1034,exchange crystals for zeny,,1002.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1035,"purchase glory pass (3,888)",,1002.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1036,"purchase glory super pack (16,888)",,1002.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1037,purchase pass levels,,1002.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1038,purchase to increase pass level by 30.,,1002.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1039,purchase to increase pass level by 50.,,1002.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1040,weapon refinement luck,Luck that has been compensated from failing to refine weapons. Accumulate a certain amount to use to ensure successful refinement.,1040.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1041,armor refinement luck,Luck that has been compensated from failing to refine armor. Accumulate a certain amount to use to ensure successful refinement.,1041.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1042,accessory refinement luck,Luck that has been compensated from failing to refine accessories. Accumulate a certain amount to use to ensure successful refinement.,1042.0,Currency,0.0,0.0,0.0,0.0,,,,,0
1043,knockback bullet,,1043.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1044,immobilize bullet,,1044.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1045,confuse bullet,,1045.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1046,blind bullet,,1046.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1047,silence bullet,,1047.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1048,stealth potion,,1048.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1049,技能：<color=#eb9433ff>直线冲锋</color>,,1043.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1050,技能：<color=#eb9434ff>幽影疾步</color>,,1043.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1051,技能：<color=#eb9435ff>神圣庇护</color>,,1043.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1052,技能：<color=#eb9436ff>霜冻陷阱</color>,,1043.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
