id,item_id,req_item_id,item_num
0,10101041,10405011,50
2,10101043,10405002,50
3,10101044,10405003,125
5,10101046,10405021,50
6,10101055,10405030,125
7,10101069,10405035,50
8,10101070,10405034,50
9,10101071,10405036,50
10,10101072,10405037,50
11,10101073,10405038,50
12,10101074,10405039,50
13,10101075,10405052,125
14,10101076,10405053,125
15,10101077,10405054,125
16,10101078,10405055,125
17,10101079,10405056,125
18,10101080,10405057,125
19,10101081,10405058,125
20,10101082,10405059,125
21,10102016,10405007,50
22,10102017,10405012,50
23,10102018,10405017,125
24,10102024,10405028,125
25,10102026,10405031,50
26,10103011,10405005,125
27,10103012,10405006,50
28,10103013,10405008,50
29,10103014,10405009,50
30,10103015,10405010,50
32,10103017,10405018,125
33,10103021,10405027,50
34,10104010,10405022,50
35,10104011,10405024,125
36,10104017,10405032,50
37,10104018,10405033,50
38,10104019,10405050,125
39,10104020,10405051,125
40,10105010,10405020,50
41,10105011,10405023,125
42,10105014,10405029,125
43,10105017,10405026,125
44,10105018,10405045,50
45,10105019,10405046,50
46,10105020,10405047,50
47,10105021,10405048,50
48,10105022,10405049,50
49,10105023,10405066,125
50,10105024,10405067,125
51,10105025,10405068,125
52,10106026,10405025,50
53,10106036,10405040,50
54,10106037,10405041,50
55,10106038,10405042,50
56,10106039,10405043,50
57,10106040,10405044,50
58,10106041,10405060,125
59,10106042,10405061,125
60,10106043,10405062,125
61,10106044,10405063,125
62,10106045,10405064,125
63,10106046,10405065,125
66,10107015,10405001,50
67,10107016,10405004,125
68,10201008,10202024,1
69,10201008,10413064,10
70,10201018,10201008,10
71,10201018,10413198,10
74,10201028,10406102,50
75,10201028,10413128,50
76,10201029,10406104,50
77,10201029,10413128,50
78,10201030,10406103,50
79,10201030,10413128,50
80,10201031,10406101,50
81,10201031,10413128,50
82,10202022,10413039,1
83,10202022,10413064,1
84,10202024,10202022,1
85,10202024,10413064,5
86,10202029,10406102,50
87,10202029,10406854,50
88,10202030,10406104,50
89,10202030,10406854,50
90,10202031,10406103,50
91,10202031,10406854,50
92,10202032,10406101,50
93,10202032,10406854,50
94,10202087,10224001,10
95,10202094,10413243,1
96,10202094,10420001,10
97,10202094,10413239,1
98,10202095,10413242,1
99,10202095,10420005,10
100,10202095,10413239,1
101,10202122,10406264,10
102,10202122,10420004,10
103,10202122,10413239,1
104,10202123,10406265,10
105,10202123,10420006,10
106,10202123,10413239,1
107,10202124,10406266,10
108,10202124,10420003,10
109,10202124,10413239,1
110,10202125,10406009,1
111,10202125,10420002,10
112,10202125,10413239,1
113,10202138,10403062,1
114,10202138,10406208,5
115,10202138,10406220,5
116,10202139,10403062,1
117,10202139,10406209,5
118,10202139,10406208,5
119,10202140,10403062,1
120,10202140,10406220,5
121,10202140,10406209,5
122,10202141,10403062,2
123,10202141,10406208,5
124,10202141,10406249,5
125,10202142,10403062,2
126,10202142,10406209,5
127,10202142,10406250,5
128,10202143,10403062,2
129,10202143,10406220,5
130,10202143,10406251,5
131,10202144,10403062,3
132,10202144,10406249,5
133,10202144,10406251,5
134,10202145,10403062,3
135,10202145,10406250,5
136,10202145,10406249,5
137,10202146,10403062,3
138,10202146,10406251,5
139,10202146,10406250,5
140,10202188,10402033,10
141,10202188,10403119,10
