id,cd,item_desc,item_type,max_stack,page,res_id,stackable,weight,static_id,name,sub_page,use,sell_navigation,card_attrs,card_quality,card_slots,deposite_attrs,is_mvp_card,item_subtype,min_level,monster_id,unlock_adventure_exp,is_bind,expired_date,item_expired_type,is_hide,show_in_ui,acquire,card_coordinate_point,is_in_collection,monster,npc_id,scene_id,interface_id,job_limit,sell_price,cd_group_id,cd_type,if_can_quick_use,item_static_id,stall_currency_type,stall_item_level,stall_price_lower_limit,stall_price_upper_limit,stall_type,stall_zeny_child_label,if_combined_for_life,area_id,stall_price_type,if_get_off_mount,if_stop_navigation,item_quality,npc_navigation,item_subtype_task,related_activity_type,related_gm_activity_type,oon_box_loot_bind_status,oon_box_loot_id,oon_box_loot_number,oon_box_loot_type,fish_tool_type,fish_rod_type,max_use,mine_tool_type,is_all_job,is_gift_item,pet_pill_bullet_id,pet_pill_fixed_damage_rate,pet_pill_max_damage,element,related_pet_skill,gift_send_limit,item_name,item_desc_en,item_type_subtype,item_type_en
1001,0.0,ItemDes_1001,7,0.0,0.0,1001.0,0.0,0.0,1001,ItemName_1001,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeny,A common currency used throughout the land of Rune-Midgarts. The more the better!,7_0,Currency
1002,0.0,ItemDes_1002,7,0.0,0.0,1002.0,0.0,0.0,1002,ItemName_1002,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,"It's said that this exquisite, precious ore can only be used in the circulation of high-priced goods.",7_0,Currency
1003,0.0,ItemDes_1003,7,0.0,0.0,1003.0,0.0,0.0,1003,ItemName_1003,0.0,{'type': 0},1.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystal,A crystal with a mysterious luster. It is quite popular in the Exchange Center.,7_0,Currency
1004,0.0,ItemDes_1004,7,0.0,0.0,1004.0,0.0,0.0,1004,ItemName_1004,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wonderland Points,Contribution points for establishing Ragnarok X: Next Generation. Can be exchanged for extremely rare items.,7_0,Currency
1005,0.0,ItemDes_1005,7,0.0,0.0,1005.0,0.0,0.0,1005,ItemName_1005,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base EXP,Used to increase a character's Base Level.,7_0,Currency
1006,0.0,ItemDes_1006,7,0.0,0.0,1006.0,0.0,0.0,1006,ItemName_1006,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Job EXP,Used to increase a character's Job Level.,7_0,Currency
1007,0.0,ItemDes_1007,7,0.0,0.0,1007.0,0.0,0.0,1007,ItemName_1007,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odin's Blessing,The Allfather's blessing. Increases the speed at which EXP is gained.,7_0,Currency
1011,0.0,ItemDes_1011,7,0.0,0.0,1011.0,0.0,0.0,1011,ItemName_1011,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guild Contribution,Can be exchanged for lots of guild-exclusive rewards.,7_0,Currency
1012,0.0,ItemDes_1012,7,0.0,0.0,1012.0,0.0,0.0,1012,ItemName_1012,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guild Funds,Material for the guild construction and development. Requires more contribution from guild members!,7_0,Currency
1013,0.0,ItemDes_1013,7,0.0,0.0,1013.0,0.0,0.0,1013,ItemName_1013,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit,For credits! Go for it!,7_0,Currency
1014,0.0,ItemDes_1014,7,0.0,0.0,1014.0,0.0,0.0,1014,ItemName_1014,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academy Coin,A currency used at Criatura Academy. Can be used to redeem rewards.,7_0,Currency
1015,0.0,ItemDes_1015,7,0.0,0.0,1015.0,0.0,0.0,1015,ItemName_1015,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower Stones,A stone that only appears in Endless Tower.,7_0,Currency
1016,0.0,ItemDes_1016,7,0.0,0.0,1010.0,0.0,0.0,1016,ItemName_1016,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cat Hand Corp. Coin,Use at the Card Vending Machine to take part in the Vending Machine Event!,7_0,Currency
1017,0.0,ItemDes_1017,7,0.0,0.0,1007.0,0.0,0.0,1017,ItemName_1017,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blessing Base EXP,Odin's Blessing. Increases Base EXP gained fivefold.,7_0,Currency
1018,0.0,ItemDes_1018,7,0.0,0.0,1018.0,0.0,0.0,1018,ItemName_1018,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blessing Job EXP,Odin's Blessing. Increases Job EXP gained fivefold.,7_0,Currency
1019,0.0,ItemDes_1019,1,,0.0,10102001.0,,0.0,1019,ItemName_1019,0.0,{'type': 0},,"[{'attrDesc': '获得任意一张白色卡片', 'attrs': [{'attrId': 25, 'attrValue': 0.05, 'type': 1}], 'condition': {'type': 'null'}}]",1.0,"[0, 1]",{},0.0,1,1.0,0.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Any White Card,Obtain any white card.,1_1,Weapon Card
1020,0.0,ItemDes_1020,7,0.0,0.0,1009.0,0.0,0.0,1020,ItemName_1020,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cool Event Corp. Coin,Use at the Equipment Vending Machine to take part in the Vending Machine Event!,7_0,Currency
1021,0.0,ItemDes_1021,7,0.0,0.0,1008.0,0.0,0.0,1021,ItemName_1021,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kafra Corp. Coin,Use at the Headgear Vending Machine to take part in the Vending Machine Event!,7_0,Currency
1022,0.0,ItemDes_1022,7,0.0,0.0,1022.0,0.0,0.0,1022,ItemName_1022,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KVM Points,You can use KVM Points to exchange for fantastic rewards!,7_0,Currency
1023,0.0,ItemDes_1023,7,0.0,0.0,1023.0,0.0,0.0,1023,ItemName_1023,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pass EXP,Get Pass EXP to level up your Pass and claim generous rewards!,7_0,Currency
1024,0.0,ItemDes_1024,7,0.0,0.0,1002.0,0.0,0.0,1024,ItemName_1024,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 Diamonds,Exchange Center item. Purchase to obtain 10 Diamonds.,7_0,Currency
1025,0.0,ItemDes_1025,7,0.0,0.0,1025.0,0.0,0.0,1025,ItemName_1025,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MVP Coin,A general reward for challenging MVP. Can be used at the corresponding Vending Machine.,7_0,Currency
1026,0.0,ItemDes_1026,7,0.0,0.0,1026.0,0.0,0.0,1026,ItemName_1026,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini Coin,A general reward for challenging Mini. Can be used at the corresponding Vending Machine.,7_0,Currency
1027,0.0,ItemDes_1027,7,0.0,0.0,1027.0,0.0,0.0,1027,ItemName_1027,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valkyrie Coin,A general reward for challenging instances. Can be exchanged for the Valkyrie set.\n<color=#FF0000>[Those of Base Lv.40 and higher cannot receive this from this instance.]</color>,7_0,Currency
1028,0.0,ItemDes_1028,7,0.0,0.0,1028.0,0.0,0.0,1028,ItemName_1028,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endless Coin,A general reward for challenging Endless Tower. Can be exchanged for the Odin set.,7_0,Currency
1029,0.0,ItemDes_1029,7,0.0,0.0,1028.0,0.0,0.0,1029,ItemName_1029,0.0,{'type': 0},,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otherworld Energy,Otherworld Gate's Open Progress,7_0,Currency
