id,name,description,res_id,is_item
1001,zeny,A common currency used throughout the land of Rune-Midgarts. The more the better!,1001.0,1
1002,diamond,"It's said that this exquisite, precious ore can only be used in the circulation of high-priced goods.",1002.0,1
1003,crystal,A crystal with a mysterious luster. It is quite popular in the Exchange Center.,1003.0,1
1004,wonderland points,Contribution points for establishing Ragnarok X: Next Generation. Can be exchanged for extremely rare items.,1004.0,1
1005,base exp,Used to increase a character's Base Level.,1005.0,1
1006,job exp,Used to increase a character's Job Level.,1006.0,1
1007,odin's blessing,The Allfather's blessing. Increases the speed at which EXP is gained.,1007.0,1
1011,guild contribution,Can be exchanged for lots of guild-exclusive rewards.,1011.0,1
1012,guild funds,Material for the guild construction and development. Requires more contribution from guild members!,1012.0,1
1013,credit,For credits! Go for it!,1013.0,1
1014,academy coin,A currency used at Criatura Academy. Can be used to redeem rewards.,1014.0,1
1015,tower stones,A stone that only appears in Endless Tower.,1015.0,1
1016,cat hand corp. coin,Use at the Card Vending Machine to take part in the Vending Machine Event!,1010.0,1
1017,blessing base exp,Odin's Blessing. Increases Base EXP gained fivefold.,1007.0,1
1018,blessing job exp,Odin's Blessing. Increases Job EXP gained fivefold.,1018.0,1
1019,any white card,Obtain any white card.,99999.0,1
1020,cool event corp. coin,Use at the Equipment Vending Machine to take part in the Vending Machine Event!,1009.0,1
1021,kafra corp. coin,Use at the Headgear Vending Machine to take part in the Vending Machine Event!,1008.0,1
1022,kvm points,You can use KVM Points to exchange for fantastic rewards!,1022.0,1
1023,pass exp,Get Pass EXP to level up your Pass and claim generous rewards!,1023.0,1
1024,10 diamonds,Exchange Center item. Purchase to obtain 10 Diamonds.,1002.0,1
1025,mvp coin,A general reward for challenging MVP. Can be used at the corresponding Vending Machine.,1025.0,1
1026,mini coin,A general reward for challenging Mini. Can be used at the corresponding Vending Machine.,1026.0,1
1027,valkyrie coin,A general reward for challenging instances. Can be exchanged for the Valkyrie set.\n<color=#FF0000>[Those of Base Lv.40 and higher cannot receive this from this instance.]</color>,1027.0,1
1028,endless coin,A general reward for challenging Endless Tower. Can be exchanged for the Odin set.,1028.0,1
1029,otherworld energy,Otherworld Gate's Open Progress,1028.0,1
1030,lost soul,A soul that lost its way in Endless Tower. People inside the tower like collecting them.,1030.0,1
1031,tower key,A secret key made of special materials that is necessary for entering Endless Tower. It will not last very long once obtained.,1031.0,1
1032,guild pass exp,EXP obtained from completing Guild Pass Quests.,1032.0,1
1033,exchange diamonds for crystals,,1002.0,1
1034,exchange crystals for zeny,,1002.0,1
1035,"purchase glory pass (3,888)",,1002.0,1
1036,"purchase glory super pack (16,888)",,1002.0,1
1037,purchase pass levels,,1002.0,1
1038,purchase to increase pass level by 30.,,1002.0,1
1039,purchase to increase pass level by 50.,,1002.0,1
1040,weapon refinement luck,Luck that has been compensated from failing to refine weapons. Accumulate a certain amount to use to ensure successful refinement.,1040.0,1
1041,armor refinement luck,Luck that has been compensated from failing to refine armor. Accumulate a certain amount to use to ensure successful refinement.,1041.0,1
1042,accessory refinement luck,Luck that has been compensated from failing to refine accessories. Accumulate a certain amount to use to ensure successful refinement.,1042.0,1
1043,knockback bullet,,1043.0,1
1044,immobilize bullet,,1044.0,1
1045,confuse bullet,,1045.0,1
1046,blind bullet,,1046.0,1
1047,silence bullet,,1047.0,1
1048,stealth potion,,1048.0,1
1049,技能：<color=#eb9433ff>直线冲锋</color>,,1043.0,1
1050,技能：<color=#eb9434ff>幽影疾步</color>,,1043.0,1
1051,技能：<color=#eb9435ff>神圣庇护</color>,,1043.0,1
1052,技能：<color=#eb9436ff>霜冻陷阱</color>,,1043.0,1
1053,技能：<color=#eb9437ff>水球禁锢</color>,,1043.0,1
1055,技能：<color=#eb9438ff>引力标枪</color>,,1043.0,1
1056,技能：<color=#eb9439ff>致盲</color>,,1043.0,1
1057,技能：<color=#eb9438ff>一号杀手</color>,,1043.0,1
10101001,fabre card,Fabre Card,99999.0,1
10101002,lunatic card,Lunatic Card,99999.0,1
10101003,familiar card,Familiar Card,99999.0,1
10101004,female thief bug card,Female Thief Bug Card,99999.0,1
10101005,rocker card,Rocker Card,99999.0,1
10101006,savage bebe card,Savage Bebe Card,99999.0,1
10101007,wolf card,Wolf Card,99999.0,1
10101008,mandragora card,Mandragora Card,99999.0,1
10101009,caramel card,Caramel Card,99999.0,1
10101010,drops card,Drops Card,99999.0,1
10101011,hydra card,Hydra Card,99999.0,1
10101013,plankton card,Plankton Card,99999.0,1
10101014,shellfish card,Shellfish Card,99999.0,1
10101015,vadon card,Vadon Card,99999.0,1
10101016,marina card,Marina Card,99999.0,1
10101017,deviace card,Deviace Card,99999.0,1
10101019,goblin archer card,Goblin Archer Card,99999.0,1
10101020,goblin steamrider card,Goblin Steamrider Card,99999.0,1
10101021,hornet card,Hornet Card,99999.0,1
10101022,flora card,Flora Card,99999.0,1
10101023,pecopeco egg card,Pecopeco Egg Card,99999.0,1
10101024,andre card,Andre Card,99999.0,1
10101025,drainliar card,Drainliar Card,99999.0,1
10101026,golem card,Golem Card,99999.0,1
10101027,desert wolf card,Desert Wolf Card,99999.0,1
10101028,scorpion card,Scorpion Card,99999.0,1
10101029,skeleton card,Skeleton Card,99999.0,1
10101030,mummy card,Mummy Card,99999.0,1
10101031,archer skeleton card,Archer Skeleton Card,99999.0,1
10101032,minorous card,Minorous Card,99999.0,1
10101033,metaller card,Metaller Card,99999.0,1
10101034,anacondaq card,Anacondaq Card,99999.0,1
10101035,side winder card,Side Winder Card,99999.0,1
10101036,magnolia card,Magnolia Card,99999.0,1
10101037,orc lady card,Orc Lady Card,99999.0,1
10101038,orc skeleton card,Orc Skeleton Card,99999.0,1
10101039,zenorc card,Zenorc Card,99999.0,1
10101040,hunter fly card,Hunter Fly Card,99999.0,1
10101041,rotar zairo card,Rotar Zairo Card,99999.0,1
10101043,drake card [day],Drake Card,99999.0,1
10101044,strouf card [day],Strouf Card,99999.0,1
10101046,phreeoni card [day],Phreeoni Card,99999.0,1
10101047,soldier skeleton card,Soldier Skeleton Card,99999.0,1
10101048,skeleton worker card,Skeleton Worker Card,99999.0,1
10101049,ground petite card,Ground Petite Card,99999.0,1
10101050,requiem card,Requiem Card,99999.0,1
