id,name,b_exp,crit,final_crit,crit_res,final_crit_res,dodge,final_dodge,final_aspd,hit,final_hit,j_exp,m_def,final_m_def,final_m_dmg_bonus,final_m_dmg_res,m_dps,m_pen,final_m_pen,m_dmg_bonus,m_dmg_res,max_hp,loc_id,p_def,final_p_def,p_dps,final_p_dmg_bonus,final_p_dmg_res,final_p_pen,p_pen,p_reflect,p_dmg_res,p_dmg_bonus,level,res_id,description,zeny,size,attr,race,loc
10001,poring,32.0,1.0,,1.0,,1.0,,,1.0,,32.0,8.0,,,,11.0,4.0,,,,118.0,1020.0,6.0,,16.0,,,,3.0,,,1.0,1.0,10001.0," Poring, a monster found all throughout Midgard, is more akin to being a mascot of Midgard than a monster. Even the bravest adventurer is no match against a Poring's cuteness. Apparently, people who adore Porings have come together and organized themselves into a Poring Supporters' Group. ""Adventurers who kill Porings without a care are heartless creatures!"" said a member of the supporters' group, wearing a Poring-shaped hat and wiping away tears.",18.0,medium,water,plant,Prontera South Gate
10002,fabre,17.0,1.0,,1.0,,1.0,,,1.0,,17.0,7.0,,,,11.0,3.0,,1.0,,65.0,1020.0,7.0,,7.0,,,,4.0,,,,2.0,10002.0," Fabres, often found near crops, has only one means of self-defense—spinning silk. Yet, who could have thought that the silk produced by Fabres is the raw material for Prontera's luxury silk? ""They are aggressive when they are hungry but they continue to spin silk docilely one fed. What a simple nature!"" remarked Monster Researcher Bertha as she stood in the field and wrote in her notebook. ""That's enough! Get these insects off my farm right away!"" cried Bertha's father angrily from the side.",9.0,small,earth,insect,Prontera South Gate
10003,pupa,18.0,2.0,,2.0,,2.0,,,2.0,,18.0,8.0,,,,0.0,5.0,,,,72.0,1020.0,8.0,,0.0,,,,3.0,,,1.0,3.0,10003.0," When Fabres reach a certain stage of growth, they turn into Pupae, seen everywhere out in the fields. Rumor has it that in the quiet of the night, the pupae split open to reveal the Creamy incubated inside, but as nobody has ever seen the complete process of a Creamy emerging from a pupa, how much truth there is in the rumor remains to be verified. Monster Researcher Bertha would like to remind everyone that the Fabre contributes greatly for mankind, so please do not break open pupae just for fun!",9.0,small,earth,insect,Prontera South Gate
10004,lunatic,19.0,2.0,,2.0,,2.0,,,2.0,,19.0,6.0,,,,7.0,5.0,,,,80.0,1020.0,10.0,,11.0,,,,3.0,,,1.0,4.0,10004.0," The bunny monster which dwells near Prontera South Gate has an inexhaustible store of energy hidden within its tiny body. Despite a Lunatic's cute appearance, due to the fact that its fur is an excellent material, there are already calls to set up a ""Lunatic Conservation Society."" The following is an extract from the important news section of the Kingdom Times: Novices should take care in distinguishing the color of the Lunatic's fur. Should an Eclipse be discovered, please hide immediately and inform the Kingdom Defense Force!",9.0,small,neutral,brute,Prontera South Gate
10005,thief bug egg,28.0,3.0,,3.0,,3.0,,,3.0,,28.0,18.0,,,,0.0,6.0,,3.0,,242.0,1050.0,12.0,,0.0,,,,9.0,,,,13.0,10005.0," In the kingdom's sewers, brown spherical objects, sticky and extremely disgusting, can be seen all over the place. Nobody who can avoid it will ever dream of touching it. Breaking them while they are still eggs can effectively prevent the hatching of Thief Bugs. ""Perhaps only the god of cooking, Dobbin, can turn such things into a dish..."" said Grace, giving up after looking at the Thief Bug Eggs on her chopping board.",13.0,small,shadow,insect,Capital Sewer 1F
10006,chonchon,41.0,3.0,,3.0,,3.0,,,3.0,,14.0,13.0,,,,20.0,5.0,,2.0,,204.0,1310.0,13.0,,13.0,,,,8.0,,,,12.0,10006.0," A flying monster with big watery eyes. According to research statistics, the Sunflower Nectar outside the West Gate is their favorite food. Chonchons bloated from feasting on nectar hovering low in the air are often seen there. ""... So why are they called Chonchons?!"" yelled Ygnizem as she ran away, unable to strike at the Chonchons due to their cuteness.",13.0,small,wind,insect,Morroc
10007,willow,50.0,2.0,,2.0,,2.0,,,2.0,,50.0,10.0,,,,21.0,6.0,,,,273.0,1430.0,10.0,,31.0,,,,4.0,,,2.0,10.0,10007.0," A sentient plant monster freed from the restriction of its roots. Though it looks rather scary, its nature is actually very playful like a little child. As Willows of very small sizes exist, the monster research academia has reasons to believe that there are great variations in size between different Willows. ""The Willows we have found at present are all in their infancy. An adult Willow Sage must be..."" Monster Researcher Bertha's eyes brightened.",27.0,medium,earth,plant,Payon South
10008,roda frog,48.0,14.0,,14.0,,14.0,,,14.0,,144.0,86.0,,,,389.0,43.0,,,,7686.0,1130.0,57.0,,584.0,,,,29.0,,,24.0,33.0,10008.0," An amazing saltwater frog most often found dwelling in the shallowest parts of seas. Apparently, they feed on Chonchons, but no crossing of paths has been discovered between the two in their natural habitat, so it remains unproven. There are even rumors of Roda Frogs being capable of reading, comprehending, taking a liking to human books. ""Those are all tall tales. They're just normal sea monsters,"" yawned Hayden who runs a business by the sea all year round, waving his hand dismissively.",48.0,medium,water,fish,Shipwreck
10009,thief bug,23.0,4.0,,4.0,,4.0,,,4.0,,38.0,19.0,,,,25.0,11.0,,,,328.0,1050.0,19.0,,37.0,,,,8.0,,,4.0,15.0,10009.0," Once an insignificant bug, but mutated once corrupted by the dark energy in the sewers. Adventurers should be advised not to show it any mercy. The following is an extract from the news section of the Kingdom Times: Thief Bug lovers have taken to the streets today to protest the kingdom's order that encourages the extermination of Thief Bugs. The Kingdom Defense Force is now in communication with the Thief Bug lovers. Negotiation is still ongoing.",13.0,small,neutral,insect,Capital Sewer 1F
10010,grasshopper,78.0,2.0,,2.0,,2.0,,,2.0,,26.0,9.0,,,,28.0,7.0,,,,338.0,1030.0,14.0,,42.0,,,,5.0,,,2.0,11.0,10010.0," A grasshopper-shaped monster with a violin in hand that possesses extraordinary musical talent. Apparently, music is their means of communication. However, the origin of those violins in their hands remains unknown. ""Who could have known that such a romantic race exists in the monster world,"" sang Morts, plucking at the strings of his lute.",27.0,medium,earth,insect,Prontera West Gate
10011,picky,21.0,2.0,,2.0,,2.0,,,2.0,,21.0,7.0,,,,6.0,5.0,,,,96.0,1310.0,10.0,,9.0,,,,3.0,,,1.0,6.0,10011.0," A cute chick monster that never seems to grow up from the moment of its birth. The debate about their appearance in their true complete form has yet to cease amongst the academics. It is in tight competition with the Drops for the first place on Morroc's ranking for the most popular monster. However, do not underestimate their attack. These little fellas have caused the injuries and deaths of several adventurers. The following is an extract from a warning board in the Morroc wilderness: Please exercise caution when dealing with harmless-looking monsters!",9.0,small,fire,brute,Morroc
