id,drop_collections_id,material_id,weight,amount
0,400001,10217127,1,1
1,406301,10217127,1,1
2,406401,10217127,1,1
3,406402,10219517,1,1
4,406501,10217127,1,1
5,406502,10219517,1,1
6,406601,10217127,1,1
7,406602,10219517,1,1
8,406701,10217127,1,1
9,406702,10219517,1,1
10,406801,10217127,1,1
11,406802,10219517,1,1
12,406901,10217127,1,1
13,406902,10219517,1,1
14,1003301,10204026,1,1
15,1003401,10204026,3,1
16,1003401,10204026,7,1
17,1003501,10204026,4,1
18,1003501,10204027,1,1
19,1003501,10204028,2,1
20,1003601,10204026,4,1
21,1003601,10204027,3,1
22,1003601,10204028,2,1
23,1003601,10204029,1,1
24,1017301,10413226,1,1
25,1017401,10413226,1,1
26,1017501,10413226,1,1
27,1030701,10204032,5,1
28,1030701,10204033,5,1
30,1050901,10202043,1,1
31,1050901,10202044,1,1
32,1050901,10202045,1,1
33,1050901,10202046,1,1
34,1051001,10202043,1,1
35,1051001,10202044,1,1
36,1051001,10202045,1,1
37,1051001,10202046,1,1
38,1051101,10217005,1,1
39,1051101,10217006,1,1
40,1051101,10217007,1,1
41,1051101,10217008,1,1
42,1051101,10217009,1,1
43,1051101,10217010,1,1
47,2012001,10914002,40,1
48,2012001,10914002,35,2
49,2012001,10914002,15,3
50,2012001,10914002,5,4
51,2012001,10914002,5,5
52,3000101,10217012,1,1
53,3000201,10217012,1,1
54,3000301,10217012,1,1
55,3000401,10217013,1,1
56,3000501,10217013,1,1
57,3000601,10217013,1,1
58,3000701,10217014,1,1
59,3000801,10217014,1,1
60,3000901,10217014,1,1
61,3001001,10217015,1,1
62,3001101,10217015,1,1
63,3001201,10217015,1,1
64,3001301,10217037,1,1
65,3001401,10217037,1,1
66,3001501,10217037,1,1
67,3001601,10217037,1,1
68,3001701,10217037,1,1
69,3001801,10217037,1,1
70,3001901,10217037,1,1
71,3002001,10217037,1,1
72,3002101,10217037,1,1
73,3002201,10217038,1,1
74,3002301,10217038,1,1
75,3002401,10217038,1,1
76,3002501,10217038,1,1
77,3002601,10217038,1,1
78,3002701,10217038,1,1
79,3002801,10217038,1,1
80,3002901,10217038,1,1
81,3003001,10217039,1,1
82,3003101,10217039,1,1
83,3003201,10217039,1,1
84,3003301,10217039,1,1
85,3003401,10217039,1,1
86,3003501,10217039,1,1
87,3003601,10217039,1,1
88,3003701,10217039,1,1
89,3003801,10217040,1,1
90,3003901,10217040,1,1
91,3004001,10217040,1,1
92,3004101,10217040,1,1
93,3004201,10217040,1,1
94,3004301,10217040,1,1
95,3004401,10217040,1,1
96,3004501,10217040,1,1
97,3004601,10217040,1,1
98,3004701,10217040,1,1
99,3004801,10217040,1,1
100,3004901,10217040,1,1
101,3005001,10217040,1,1
102,3005101,10217040,1,1
103,3005201,10217041,1,1
104,3005301,10217041,1,1
105,3005401,10217041,1,1
106,3005501,10217041,1,1
107,3005601,10217041,1,1
108,3005701,10217041,1,1
109,3005801,10217042,1,1
110,3005901,10217042,1,1
111,3006001,10217042,1,1
112,3006101,10217042,1,1
113,3006201,10217042,1,1
114,3006301,10217042,1,1
115,3006401,10217042,1,1
116,3006501,10217043,1,1
117,3006601,10217043,1,1
118,3006701,10217043,1,1
119,3006801,10217043,1,1
120,3006901,10217043,1,1
121,3007001,10217043,1,1
122,3007101,10217043,1,1
123,3007201,10217044,1,1
124,3007301,10217044,1,1
125,3007401,10217044,1,1
126,3007501,10217044,1,1
127,3007601,10217044,1,1
128,3007701,10217044,1,1
129,3007801,10217044,1,1
130,3007901,10217041,1,1
131,3008001,10217041,1,1
132,3008101,10217041,1,1
133,3008201,10217041,1,1
134,3008301,10217042,1,1
135,3100001,10219057,1,1
136,3200101,10217045,1,1
137,3200201,10217045,1,1
138,3200301,10217045,1,1
139,3200401,10217045,1,1
140,3200501,10217045,1,1
141,3200601,10217045,1,1
142,3200701,10217045,1,1
143,3200801,10217045,1,1
144,3200901,10217045,1,1
145,3201001,10217045,1,1
146,3201101,10217045,1,1
147,3201201,10217045,1,1
148,3201301,10217045,1,1
149,3201401,10217045,1,1
150,3201501,10217045,1,1
151,3201601,10217045,1,1
152,3201701,10217045,1,1
153,3201801,10217045,1,1
154,3201901,10217046,1,1
155,3202001,10217046,1,1
156,3202101,10217046,1,1
157,3202201,10217046,1,1
158,3202301,10217046,1,1
159,3202401,10217046,1,1
160,3202501,10217046,1,1
161,3202601,10217046,1,1
162,3202701,10217046,1,1
163,3202801,10217046,1,1
164,3202901,10217046,1,1
165,3203001,10217046,1,1
166,3203101,10217046,1,1
167,3203201,10217046,1,1
168,3203301,10217046,1,1
169,3203401,10217046,1,1
170,3203501,10217046,1,1
171,3203601,10217046,1,1
172,3203701,10217047,1,1
173,3203801,10217047,1,1
174,3203901,10217047,1,1
175,3204001,10217047,1,1
176,3204101,10217047,1,1
177,3204201,10217047,1,1
178,3204301,10217047,1,1
179,3204401,10217047,1,1
180,3204501,10217047,1,1
181,3204601,10217047,1,1
182,3204701,10217047,1,1
183,3204801,10217047,1,1
184,3204901,10217047,1,1
185,3205001,10217047,1,1
186,3205101,10217047,1,1
187,3205201,10217047,1,1
188,3205301,10217047,1,1
189,3205401,10217047,1,1
190,3205501,10217048,1,1
191,3205601,10217048,1,1
192,3205701,10217048,1,1
193,3205801,10217048,1,1
194,3205901,10217048,1,1
195,3206001,10217048,1,1
196,3206101,10217048,1,1
197,3206201,10217048,1,1
198,3206301,10217048,1,1
199,3206401,10217048,1,1
200,3206501,10217048,1,1
201,3206601,10217048,1,1
202,3206701,10217048,1,1
203,3206801,10217048,1,1
204,3206901,10217048,1,1
205,3207001,10217048,1,1
206,3207101,10217048,1,1
207,3207201,10217048,1,1
