id,drop_id,drop_collections_id,weight
0,1000101,100010101,1
1,1000102,100010201,1
2,1000103,100010301,1
3,1000104,100010401,1
4,1000107,100010701,1
5,1000108,100010801,1
6,1000109,100010901,1
7,1000201,100020101,1
8,1000202,100020201,1
9,1000203,100020301,1
10,1000204,100020401,1
11,1000207,100020701,1
12,1000208,100020801,1
13,1000209,100020901,1
14,1000301,100030101,1
15,1000302,100030201,1
16,1000303,100030301,1
17,1000304,100030401,1
18,1000306,100030601,1
19,1000307,100030701,1
20,1000308,100030801,1
21,1000309,100030901,1
22,100032,10003201,1
23,100033,10003301,1
24,1000401,100040101,1
25,1000403,100040301,1
26,1000404,100040401,1
27,1000407,100040701,1
28,1000408,100040801,1
29,1000409,100040901,1
30,1000501,100050101,1
31,1000503,100050301,1
32,1000504,100050401,1
33,1000507,100050701,1
34,1000508,100050801,1
35,1000509,100050901,1
36,1000601,100060101,1
37,1000602,100060201,1
38,1000603,100060301,1
39,1000604,100060401,1
40,1000605,100060501,1
41,1000607,100060701,1
42,1000608,100060801,1
43,1000609,100060901,1
44,1000701,100070101,1
45,1000702,100070201,1
46,1000703,100070301,1
47,1000704,100070401,1
48,1000707,100070701,1
49,1000708,100070801,1
50,1000709,100070901,1
51,1000801,100080101,1
52,1000802,100080201,1
53,1000803,100080301,1
54,1000804,100080401,1
55,1000805,100080501,1
56,1000806,100080601,1
57,1000807,100080701,1
58,1000808,100080801,1
59,1000809,100080901,1
60,1000901,100090101,1
61,1000904,100090401,1
62,1000905,100090501,1
63,1000907,100090701,1
64,1000908,100090801,1
65,1000909,100090901,1
66,1001001,100100101,1
67,1001002,100100201,1
68,1001003,100100301,1
69,1001004,100100401,1
70,1001005,100100501,1
71,1001007,100100701,1
72,1001008,100100801,1
73,1001009,100100901,1
74,1001101,100110101,1
75,1001102,100110201,1
76,1001103,100110301,1
77,1001104,100110401,1
78,1001107,100110701,1
79,1001108,100110801,1
80,1001109,100110901,1
81,1001201,100120101,1
82,1001202,100120201,1
83,1001203,100120301,1
84,1001204,100120401,1
85,1001207,100120701,1
86,1001208,100120801,1
87,1001209,100120901,1
88,1001301,100130101,1
89,1001303,100130301,1
90,1001304,100130401,1
91,1001307,100130701,1
92,1001308,100130801,1
93,1001309,100130901,1
94,1001401,100140101,1
95,1001402,100140201,1
96,1001403,100140301,1
97,1001404,100140401,1
98,1001407,100140701,1
99,1001408,100140801,1
100,1001409,100140901,1
101,1001501,100150101,1
102,1001502,100150201,1
103,1001503,100150301,1
104,1001504,100150401,1
105,1001505,100150501,1
106,1001507,100150701,1
107,1001508,100150801,1
108,1001509,100150901,1
109,1001601,100160101,1
110,1001602,100160201,1
111,1001603,100160301,1
