id,name,description
100001,Normal Attack,
100002,Monster spawned,
100003,Gather!!,
100004,Test Buff Skill,
100010,Ignore defense attack,
1000101,Strike,Deal <color=#338dc3>200%%</color> physical damage to an enemy.
1000102,First Aid,Heal yourself for <color=#338dc3>300</color> HP.
1000103,Play Dead,Lie on the floor and feign death. Clears all threat.
1000105,Tame Pet,"Using the Pet Taming skill causes the pet to enter the Taming state, and the Pet Slot Machine will pop out. The pet's quality and remaining HP will determine the chance of success and obtaining a pet with high stats. The less remaining HP the pet that is being tamed has, the higher the chance of success and the pet having high stats."
1000106,Pet-run Shop,Pets with the Merchant affix can run a shop. Classes other than Merchant can only run a shop in the Commercial District of Prontera. Merchants can request pets to run a shop on the World Map.
10001101,Poring Normal Attack,
100013,Spell Target Detection,
100014,Change Target (Randomize Threat),
100015,Assist Friends (Share Threat),
100016,Only takes 1 damage,
100021,Share Life,
10002101,Fabre Normal Attack,
10003111,Pupa Death Summon,
10004101,Lunatic Normal Attack,
10005101,Thief Bug Egg Normal Attack,
10005111,Thief Bug Egg Death Summon,
10006101,Chonchon Normal Attack,
10007101,Willow Normal Attack,
10008101,Roda Frog Normal Attack,
10009101,Thief Bug Normal Attack,
10009111,ASPD+,
100101,Novice Dagger Normal Attack,
10010101,Grasshopper Normal Attack,
10011101,Picky Normal Attack,
10012101,Drops Normal Attack,
10013101,Pecopeco Normal Attack,
10013111,Pecopeco Egg Death Summon,
10014101,Condor Normal Attack,
10014111,Adrenaline Rush,
10015101,Savage Babe Normal Attack,
10016101,Baby Desert Wolf Normal Attack,
10017101,Pecopeco Egg Normal Attack,
10018101,Muka Normal Attack,
10018111,Breaking Attack,
10019101,Metaller Normal Attack,
10020101,Anacondaq Normal Attack,
10021101,Scorpion Normal Attack,
10022101,Golem Normal Attack,
10023101,Hode Normal Attack,
10024101,Desert Wolf Normal Attack,
10024111,Sand Attack,
10025101,Frilldora Normal Attack,
10025111,Multi-Phase Attack,
10026101,Sandman Normal Attack,
10027101,Hornet Normal Attack,
10028101,Ambernite Normal Attack,
10028111,Withdraw,
10029101,Wormtail Normal Attack,
10030101,Dustiness Normal Attack,
10030111,Vicious Curse,
10030112,Drops of Moonlight,"During the event, use it in MVP/Mini to deal damage that is 0.5% of HP"
10031101,Horn Normal Attack,
10032101,Wild Rose Normal Attack,
10033101,Side Winder Normal Attack,
10034101,Ground Petite Normal Attack,
10035101,Sky Petite Normal Attack,
10036101,Elder Willow Normal Attack,
10037101,Eggyra Normal Attack,
10038101,Bigfoot Normal Attack,
10039101,Savage Normal Attack,
10040101,Magnolia Normal Attack,
10041101,Dokebi Normal Attack,
10042101,Horong Normal Attack,
10043101,Greatest General Normal Attack,
10044101,Familiar Normal Attack,
10045101,Spore Normal Attack,
10046101,Plankton Normal Attack,
10047101,Tarou Normal Attack,
10048101,Female Thief Bug Normal Attack,
10049101,Male Thief Bug Normal Attack,
10050101,Wolf Normal Attack,
10051101,Mandragora Normal Attack,
10052101,Poporing Normal Attack,
10053101,Snake Normal Attack,
10054101,Creamy Normal Attack,
10055101,Stainer Normal Attack,
10056101,Steel Chonchon Normal Attack,
10057101,Coco Normal Attack,
10058101,Smokie Normal Attack,
10059101,Caramel Normal Attack,
10060101,Yoyo Normal Attack,
10060111,Stone Fling,
10061101,Pirate Skeleton Normal Attack,
10062101,Megalodon Normal Attack,
10062111,Shadow Attribute Change,
10063101,Poison Spore Normal Attack,
10064101,Whisper Normal Attack,
10064112,Snap,
10065101,Kukre Normal Attack,
10066101,Hydra Normal Attack,
10067101,Shell Normal Attack,
10068101,Vadon Normal Attack,
10069101,Marina Normal Attack,
10070101,Thara Frog Normal Attack,
10071101,Cornutus Normal Attack,
10072101,Phen Normal Attack,
10073101,Marine Sphere Normal Attack,
