id,name,description,group_id,is_damage_skill,max_level,type,cooldown,job,res_id,cost,is_mount_combat,is_show_skill_tree,fixed_cooldown,combo,range,require_mount_combat,pet_skill_type,is_pet_skill_can_use_when_master_die,pet_skill_element,suit_skills_or_not
100001,Normal Attack,,0,1,1,2,1600.0,1,100001,0.0,0,0,,0.0,-9999,0,1,0,0,0
100002,Monster spawned,,0,0,1,4,0.0,1,100002,0.0,0,0,,-9999,-9999,0,1,0,0,0
100003,,,0,0,1,1,0.0,1,100003,0.0,0,0,,-9999,-9999,0,1,0,0,0
100004,Test Buff Skill,,0,1,1,1,0.0,1,100004,0.0,0,0,,-9999,-9999,0,1,0,0,0
100005,,,0,1,1,2,1600.0,1,100005,0.0,0,0,,0.0,-9999,0,1,0,0,0
1000059,,,0,1,1,2,1600.0,1,100005,0.0,0,0,,0.0,-9999,0,1,0,0,0
100006,,,0,1,1,2,1600.0,1,100006,0.0,0,0,,0.0,-9999,0,1,0,0,0
100007,,,0,1,1,2,1600.0,1,100007,0.0,0,0,,0.0,-9999,0,1,0,0,0
100008,,,0,1,1,2,1600.0,1,100008,0.0,0,0,,0.0,-9999,0,1,0,0,0
100009,,,0,1,1,2,1600.0,1,100009,0.0,0,0,,0.0,-9999,0,1,0,0,0
100010,,,0,1,1,1,5000.0,1,100010,0.0,0,0,,-9999,-9999,0,1,0,0,0
1000101,Strike,Deal <color=#338dc3>200%%</color> physical damage to an enemy.,0,0,1,1,,1000,1000101,3.0,1,1,6000.0,-9999,-9999,0,1,0,0,0
1000102,First Aid,Heal yourself for <color=#338dc3>300</color> HP.,0,0,1,1,,1000,1000102,2.0,1,1,8000.0,-9999,-9999,0,1,0,0,0
1000103,Play Dead,Lie on the floor and feign death. Clears all threat.,0,0,1,1,,1000,1000103,,0,1,60000.0,-9999,-9999,0,1,0,0,0
1000104,,,0,0,0,1,0.0,1000,1000103,,0,0,,-9999,-9999,0,1,0,0,0
1000105,Tame Pet,"Using the Pet Taming skill causes the pet to enter the Taming state, and the Pet Slot Machine will pop out. The pet's quality and remaining HP will determine the chance of success and obtaining a pet with high stats. The less remaining HP the pet that is being tamed has, the higher the chance of success and the pet having high stats.",0,0,1,1,10000.0,1000,1000105,10.0,1,1,,-9999,-9999,0,1,0,0,0
